battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-4340,1,ribombee,1.0,,eternatus,1.0,,general_scoring,"[('switch', 'eternatus', 155.0), ('move', 'moonblast', 142.5), ('switch', 'zaciancrowned', 125.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'uturn', 52.5), ('move', 'stickyweb', 35.0), ('move', 'stunspore', 30.0)]",switch:eternatus,155.0,False
battle-gen9ubers-4340,2,eternatus,0.32066508313539194,,eternatus,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('switch', 'zaciancrowned', 125.0), ('move', 'meteorbeam', 120.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('move', 'fireblast', 55.0), ('switch', 'ribombee', -2.5)]",move:dynamaxcannon,300.0,False
battle-gen9ubers-4340,3,eternatus,0.32066508313539194,,zaciancrowned,1.0,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'kyogre', 115.0), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'sludgebomb', 0.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:fireblast,220.0,False
battle-gen9ubers-4340,3,eternatus,0,FNT,zaciancrowned,1.0,,forced_switch,[],switch:kyogre,,False
battle-gen9ubers-4340,4,kyogre,1.0,,zaciancrowned,1.0,,general_scoring,"[('move', 'earthquake', 200.0), ('move', 'waterfall', 120.0), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 65.0), ('move', 'bodyslam', 42.5), ('move', 'terablast', 40.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:earthquake,200.0,False
battle-gen9ubers-4340,4,kyogre,0,FNT,zaciancrowned,0.72,,forced_switch,[],switch:arceusghost,,False
battle-gen9ubers-4340,5,arceusghost,1.0,,zaciancrowned,0.72,,general_scoring,"[('move', 'judgment', 150.0), ('move', 'aurasphere', 80.0), ('switch', 'zaciancrowned', 65.0), ('move', 'powergem', 40.0), ('move', 'calmmind', 0.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:judgment,150.0,False
battle-gen9ubers-4340,6,arceusghost,0.3706467661691542,,zaciancrowned,0.1,,hard_ko,[],move:judgment,,False
battle-gen9ubers-4340,6,arceusghost,0,FNT,zaciancrowned,0.1,,forced_switch,[],switch:zaciancrowned,,False
battle-gen9ubers-4340,7,zaciancrowned,1.0,,zaciancrowned,0.1,,hard_ko,[],move:behemothblade,,False
battle-gen9ubers-4340,8,zaciancrowned,1.0,,kingambit,1.0,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-4340,9,zaciancrowned,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'ribombee', 125.0), ('move', 'wildcharge', 90.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('switch', 'koraidon', -25.0)]",move:behemothblade,150.0,False
battle-gen9ubers-4340,10,zaciancrowned,1.0,,deoxysspeed,0.01,,hard_ko,[],move:behemothblade,,False
