battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-1720,1,ribombee,1.0,,clodsire,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-1720,2,ribombee,1.0,,clodsire,1.0,,ribombee_opening,[],move:uturn,,True
battle-gen9ubers-1720,2,ribombee,1.0,,clodsire,0.94,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-1720,3,kyogre,0.550531914893617,PSN,clodsire,0.94,,general_scoring,"[('move', 'waterfall', 240.0), ('move', 'earthquake', 200.0), ('move', 'bodyslam', 85.0), ('move', 'terablast', 80.0), ('switch', 'zaciancrowned', 65.0), ('switch', 'eternatus', 65.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0)]",move:waterfall,240.0,True
battle-gen9ubers-1720,4,kyogre,0.1675531914893617,PSN,clodsire,1.0,,general_scoring,"[('move', 'waterfall', 240.0), ('switch', 'zaciancrowned', 65.0), ('switch', 'eternatus', 65.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0)]",move:waterfall,240.0,True
battle-gen9ubers-1720,4,kyogre,0,FNT,clodsire,1.0,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-1720,5,zaciancrowned,0.8769230769230769,,clodsire,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 65.0), ('move', 'closecombat', 60.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0), ('move', 'swordsdance', 0.0), ('move', 'wildcharge', 0.0)]",move:behemothblade,150.0,True
battle-gen9ubers-1720,6,zaciancrowned,0.35384615384615387,,clodsire,0.13,,hard_ko,[],move:behemothblade,,True
battle-gen9ubers-1720,7,zaciancrowned,0.35384615384615387,,metagross,1.0,,general_scoring,"[('switch', 'eternatus', 165.0), ('switch', 'koraidon', 155.0), ('move', 'closecombat', 120.0), ('move', 'wildcharge', 90.0), ('move', 'behemothblade', 75.0), ('move', 'swordsdance', 30.0), ('switch', 'ribombee', 20.0), ('switch', 'arceusghost', -65.0)]",switch:eternatus,165.0,True
battle-gen9ubers-1720,7,eternatus,0,FNT,metagross,1.0,,forced_switch,[],switch:koraidon,,True
battle-gen9ubers-1720,8,koraidon,0.8768328445747801,,metagross,1.0,,general_scoring,"[('move', 'flareblitz', 240.0), ('switch', 'zaciancrowned', 65.0), ('switch', 'ribombee', 20.0), ('move', 'scaleshot', 18.75), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0), ('switch', 'arceusghost', -65.0)]",move:flareblitz,240.0,True
battle-gen9ubers-1720,9,koraidon,0.5806451612903226,,tornadustherian,1.0,,general_scoring,"[('move', 'flareblitz', 120.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'arceusghost', 75.0), ('switch', 'ribombee', 57.5), ('move', 'scaleshot', 37.5), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0)]",move:flareblitz,120.0,True
battle-gen9ubers-1720,10,koraidon,0.26099706744868034,,rotomwash,1.0,,general_scoring,"[('move', 'flareblitz', 60.0), ('switch', 'ribombee', 57.5), ('move', 'scaleshot', 37.5), ('switch', 'zaciancrowned', 35.0), ('move', 'swordsdance', 30.0), ('switch', 'arceusghost', 15.0), ('move', 'taunt', 10.0)]",move:flareblitz,60.0,True
battle-gen9ubers-1720,11,koraidon,0.026392961876832845,,rotomwash,0.54,BRN,general_scoring,"[('move', 'flareblitz', 60.0), ('switch', 'ribombee', 57.5), ('move', 'scaleshot', 37.5), ('switch', 'zaciancrowned', 35.0), ('move', 'swordsdance', 30.0), ('switch', 'arceusghost', 15.0), ('move', 'taunt', 10.0)]",move:flareblitz,60.0,True
battle-gen9ubers-1720,11,koraidon,0,FNT,rotomwash,0.11,BRN,forced_switch,[],switch:ribombee,,True
battle-gen9ubers-1720,12,ribombee,0.8773946360153256,,rotomwash,0.11,BRN,hard_ko,[],move:moonblast,,True
battle-gen9ubers-1720,13,ribombee,0.8773946360153256,,cobalion,1.0,,general_scoring,"[('switch', 'zaciancrowned', 155.0), ('move', 'moonblast', 142.5), ('switch', 'arceusghost', 75.0), ('move', 'stunspore', 30.0), ('move', 'uturn', 26.25), ('move', 'stickyweb', 10.0)]",switch:zaciancrowned,155.0,True
battle-gen9ubers-1720,14,zaciancrowned,0.006153846153846154,,zarudedada,1.0,,general_scoring,"[('move', 'closecombat', 240.0), ('switch', 'ribombee', 155.0), ('move', 'behemothblade', 150.0), ('switch', 'arceusghost', 105.0), ('move', 'wildcharge', 45.0), ('move', 'swordsdance', 30.0)]",move:closecombat,240.0,True
battle-gen9ubers-1720,14,zaciancrowned,0,FNT,zarudedada,0.08,,forced_switch,[],switch:ribombee,,True
battle-gen9ubers-1720,15,ribombee,0.7547892720306514,,zarudedada,0.08,,hard_ko,[],move:uturn,,True
battle-gen9ubers-1720,15,ribombee,0.5900383141762452,,cobalion,0.98,,forced_switch,[],switch:arceusghost,,True
battle-gen9ubers-1720,16,arceusghost,0.8756218905472637,,cobalion,0.98,,general_scoring,"[('move', 'aurasphere', 160.0), ('switch', 'ribombee', 57.5), ('move', 'judgment', 50.0), ('move', 'calmmind', 30.0), ('move', 'powergem', 20.0)]",move:aurasphere,160.0,True
battle-gen9ubers-1720,17,arceusghost,0.7661691542288557,,zarudedada,0.08,,hard_ko,[],move:aurasphere,,True
battle-gen9ubers-1720,18,arceusghost,0.2885572139303483,,cobalion,0.28,,hard_ko,[],move:aurasphere,,True
battle-gen9ubers-1721,1,ribombee,1.0,,rotomwash,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-1721,2,ribombee,0.36398467432950193,,rotomwash,1.0,,ribombee_opening,[],move:uturn,,True
battle-gen9ubers-1721,2,ribombee,0.36398467432950193,,rotomwash,0.78,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-1721,3,kyogre,0.7925531914893617,,rotomwash,0.84,,general_scoring,"[('move', 'earthquake', 200.0), ('move', 'bodyslam', 85.0), ('move', 'terablast', 80.0), ('switch', 'eternatus', 65.0), ('move', 'waterfall', 60.0), ('switch', 'ribombee', 57.5), ('switch', 'zaciancrowned', 35.0), ('switch', 'arceusghost', 15.0), ('switch', 'koraidon', -25.0)]",move:earthquake,200.0,True
battle-gen9ubers-1721,4,kyogre,0.4734042553191489,,zarudedada,1.0,,general_scoring,"[('switch', 'ribombee', 155.0), ('switch', 'eternatus', 125.0), ('switch', 'arceusghost', 105.0), ('switch', 'koraidon', 95.0), ('switch', 'zaciancrowned', 95.0), ('move', 'earthquake', 50.0)]",switch:ribombee,155.0,True
battle-gen9ubers-1721,4,ribombee,0,FNT,zarudedada,1.0,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-1721,5,eternatus,1.0,,zarudedada,1.0,,general_scoring,"[('move', 'sludgebomb', 270.0), ('move', 'fireblast', 220.0), ('move', 'dynamaxcannon', 150.0), ('move', 'meteorbeam', 120.0), ('switch', 'arceusghost', 105.0), ('switch', 'koraidon', 95.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'kyogre', 30.0)]",move:sludgebomb,270.0,True
battle-gen9ubers-1721,6,eternatus,1.0,,metagross,1.0,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'koraidon', 155.0), ('switch', 'kyogre', 115.0), ('move', 'dynamaxcannon', 75.0), ('switch', 'zaciancrowned', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'sludgebomb', 0.0), ('switch', 'arceusghost', -65.0)]",move:fireblast,220.0,True
battle-gen9ubers-1721,6,eternatus,0,FNT,metagross,0.19,,forced_switch,[],switch:koraidon,,True
battle-gen9ubers-1721,7,koraidon,1.0,,metagross,0.19,,hard_ko,[],move:flareblitz,,True
battle-gen9ubers-1721,8,koraidon,0.9472140762463344,,tornadustherian,1.0,,general_scoring,"[('move', 'flareblitz', 120.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'arceusghost', 75.0), ('move', 'scaleshot', 37.5), ('switch', 'kyogre', 35.0), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0)]",move:flareblitz,120.0,True
battle-gen9ubers-1721,9,koraidon,0.6275659824046921,,clodsire,1.0,,general_scoring,"[('move', 'flareblitz', 120.0), ('switch', 'kyogre', 95.0), ('switch', 'zaciancrowned', 65.0), ('move', 'scaleshot', 37.5), ('move', 'swordsdance', 30.0), ('switch', 'arceusghost', 15.0), ('move', 'taunt', 10.0)]",move:flareblitz,120.0,True
battle-gen9ubers-1721,10,koraidon,0.22580645161290322,,clodsire,0.11,,hard_ko,[],move:scaleshot,,True
battle-gen9ubers-1721,11,koraidon,0.22580645161290322,,rotomwash,0.84,,general_scoring,"[('switch', 'kyogre', 145.0), ('move', 'flareblitz', 60.0), ('move', 'scaleshot', 37.5), ('switch', 'zaciancrowned', 35.0), ('move', 'swordsdance', 30.0), ('switch', 'arceusghost', 15.0), ('move', 'taunt', 10.0)]",switch:kyogre,145.0,True
battle-gen9ubers-1721,12,kyogre,0.14893617021276595,,rotomwash,0.9,,general_scoring,"[('move', 'earthquake', 200.0), ('move', 'bodyslam', 85.0), ('move', 'terablast', 80.0), ('move', 'waterfall', 60.0), ('switch', 'zaciancrowned', 35.0), ('switch', 'arceusghost', 15.0), ('switch', 'koraidon', -25.0)]",move:earthquake,200.0,True
battle-gen9ubers-1721,12,kyogre,0,FNT,cobalion,1.0,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-1721,13,zaciancrowned,0.8769230769230769,,cobalion,1.0,,general_scoring,"[('move', 'closecombat', 240.0), ('switch', 'koraidon', 95.0), ('move', 'wildcharge', 90.0), ('move', 'behemothblade', 75.0), ('switch', 'arceusghost', 75.0), ('move', 'swordsdance', 30.0)]",move:closecombat,240.0,True
battle-gen9ubers-1721,14,zaciancrowned,0.21846153846153846,,cobalion,0.12,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-1721,15,zaciancrowned,0.052307692307692305,,rotomwash,0.9,,general_scoring,"[('move', 'closecombat', 120.0), ('move', 'wildcharge', 90.0), ('move', 'behemothblade', 37.5), ('move', 'swordsdance', 30.0), ('switch', 'arceusghost', 15.0), ('switch', 'koraidon', -25.0)]",move:closecombat,120.0,True
battle-gen9ubers-1721,15,zaciancrowned,0,FNT,rotomwash,0.27,,forced_switch,[],switch:arceusghost,,True
battle-gen9ubers-1721,16,arceusghost,0.8756218905472637,,rotomwash,0.27,,general_scoring,"[('move', 'judgment', 100.0), ('move', 'aurasphere', 80.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 30.0), ('switch', 'koraidon', -25.0)]",move:judgment,100.0,True
battle-gen9ubers-1722,1,ribombee,1.0,,cobalion,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-1722,2,ribombee,0.7509578544061303,,clodsire,1.0,,ribombee_opening,[],move:uturn,,True
battle-gen9ubers-1722,2,ribombee,0.7509578544061303,,clodsire,0.94,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-1722,3,kyogre,1.0,,clodsire,0.94,,general_scoring,"[('move', 'waterfall', 240.0), ('move', 'earthquake', 200.0), ('move', 'bodyslam', 85.0), ('move', 'terablast', 80.0), ('switch', 'zaciancrowned', 65.0), ('switch', 'eternatus', 65.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0)]",move:waterfall,240.0,True
battle-gen9ubers-1722,4,kyogre,0.7047872340425532,,clodsire,1.0,,general_scoring,"[('move', 'waterfall', 240.0), ('switch', 'zaciancrowned', 65.0), ('switch', 'eternatus', 65.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0)]",move:waterfall,240.0,True
battle-gen9ubers-1722,5,kyogre,0.4095744680851064,,clodsire,1.0,,general_scoring,"[('move', 'waterfall', 240.0), ('switch', 'zaciancrowned', 65.0), ('switch', 'eternatus', 65.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0)]",move:waterfall,240.0,True
battle-gen9ubers-1722,6,kyogre,0.1622340425531915,,clodsire,1.0,,general_scoring,"[('move', 'waterfall', 240.0), ('switch', 'zaciancrowned', 65.0), ('switch', 'eternatus', 65.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0)]",move:waterfall,240.0,True
battle-gen9ubers-1722,6,kyogre,0,FNT,clodsire,1.0,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-1722,7,zaciancrowned,0.8769230769230769,,clodsire,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 65.0), ('move', 'closecombat', 60.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0), ('move', 'swordsdance', 0.0), ('move', 'wildcharge', 0.0)]",move:behemothblade,150.0,True
battle-gen9ubers-1722,8,zaciancrowned,0.3230769230769231,,clodsire,0.21,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 65.0), ('move', 'closecombat', 60.0), ('switch', 'koraidon', 35.0), ('switch', 'ribombee', 16.25), ('switch', 'arceusghost', 15.0), ('move', 'swordsdance', 0.0), ('move', 'wildcharge', 0.0)]",move:behemothblade,150.0,True
battle-gen9ubers-1722,9,zaciancrowned,0.3230769230769231,,metagross,1.0,,general_scoring,"[('switch', 'eternatus', 165.0), ('switch', 'koraidon', 155.0), ('move', 'closecombat', 120.0), ('move', 'wildcharge', 90.0), ('move', 'behemothblade', 75.0), ('move', 'swordsdance', 30.0), ('switch', 'ribombee', 20.0), ('switch', 'arceusghost', -65.0)]",switch:eternatus,165.0,True
battle-gen9ubers-1722,9,eternatus,0,FNT,metagross,1.0,,forced_switch,[],switch:koraidon,,True
