battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-4112,1,ribombee,1.0,,kingambit,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-4112,2,ribombee,0.0038314176245210726,,kingambit,1.0,,ribombee_opening,[],move:uturn,,True
battle-gen9ubers-4112,2,ribombee,0.0038314176245210726,,kingambit,0.89,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-4112,3,zaciancrowned,0.5815384615384616,,kingambit,0.89,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-4112,4,zaciancrowned,0.5815384615384616,,zaciancrowned,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 135.0), ('move', 'closecombat', 120.0), ('switch', 'kyogre', 115.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:behemothblade,150.0,True
battle-gen9ubers-4112,4,zaciancrowned,0,FNT,zaciancrowned,0.2,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-4112,5,eternatus,1.0,,zaciancrowned,0.2,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-4112,6,eternatus,1.0,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 215.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('switch', 'ribombee', 125.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,215.0,True
battle-gen9ubers-4112,7,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-4112,8,arceusghost,0.6467661691542289,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-4112,9,arceusghost,0.48258706467661694,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 530.0), ('switch', 'eternatus', 155.0), ('move', 'judgment', 150.0), ('switch', 'koraidon', 92.5), ('move', 'aurasphere', 80.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'kyogre', 15.0)]",switch:ribombee,530.0,True
battle-gen9ubers-4112,9,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-4112,10,eternatus,0.8764845605700713,,koraidon,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",move:dynamaxcannon,300.0,True
battle-gen9ubers-4112,11,eternatus,0.8764845605700713,,eternatus,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'meteorbeam', 120.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('move', 'fireblast', 55.0)]",move:dynamaxcannon,300.0,True
battle-gen9ubers-4112,12,eternatus,0.8764845605700713,,arceusfairy,1.0,,general_scoring,"[('move', 'sludgebomb', 270.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'arceusghost', 65.0), ('switch', 'kyogre', 35.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', -145.0)]",move:sludgebomb,270.0,True
battle-gen9ubers-4112,13,eternatus,0.4845605700712589,,arceusfairy,0.2,PSN,hard_ko,[],move:sludgebomb,,True
battle-gen9ubers-4113,1,ribombee,1.0,,eternatus,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-4113,2,ribombee,0.0038314176245210726,,eternatus,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-4113,2,ribombee,0.0038314176245210726,,eternatus,0.95,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-4113,3,eternatus,1.0,,eternatus,0.95,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('switch', 'zaciancrowned', 125.0), ('move', 'meteorbeam', 120.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('move', 'fireblast', 55.0), ('switch', 'ribombee', -2.5)]",move:dynamaxcannon,300.0,False
battle-gen9ubers-4113,4,eternatus,1.0,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 215.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('switch', 'ribombee', 125.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,215.0,True
battle-gen9ubers-4113,5,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('switch', 'zaciancrowned', 95.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-4113,6,arceusghost,0.6616915422885572,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-4113,7,arceusghost,0.49502487562189057,,kingambit,1.0,,general_scoring,"[('switch', 'zaciancrowned', 395.0), ('move', 'aurasphere', 320.0), ('switch', 'koraidon', 155.0), ('switch', 'eternatus', 135.0), ('switch', 'kyogre', 115.0), ('move', 'judgment', 75.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'ribombee', -2.5)]",switch:zaciancrowned,395.0,True
battle-gen9ubers-4113,8,zaciancrowned,0.5230769230769231,,kingambit,1.0,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-4113,9,zaciancrowned,0.5230769230769231,,zaciancrowned,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 135.0), ('move', 'closecombat', 120.0), ('switch', 'kyogre', 115.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:behemothblade,150.0,True
battle-gen9ubers-4113,9,zaciancrowned,0,FNT,zaciancrowned,0.15,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-4113,10,eternatus,0.8764845605700713,,zaciancrowned,0.15,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-4113,11,eternatus,0.8764845605700713,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 530.0), ('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",switch:ribombee,530.0,True
battle-gen9ubers-4113,11,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-4113,12,eternatus,0.7529691211401425,,koraidon,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",move:dynamaxcannon,300.0,True
battle-gen9ubers-4113,13,eternatus,0.7529691211401425,,arceusfairy,1.0,,general_scoring,"[('move', 'sludgebomb', 270.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'arceusghost', 65.0), ('switch', 'kyogre', 35.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', -145.0)]",move:sludgebomb,270.0,True
battle-gen9ubers-4113,14,eternatus,0.3586698337292161,,arceusfairy,0.28,,hard_ko,[],move:sludgebomb,,True
battle-gen9ubers-4114,1,ribombee,1.0,,kingambit,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-4114,2,ribombee,0.0038314176245210726,,kingambit,1.0,,ribombee_opening,[],move:uturn,,True
battle-gen9ubers-4114,2,ribombee,0.0038314176245210726,,kingambit,0.89,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-4114,3,zaciancrowned,0.5446153846153846,,kingambit,0.89,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-4114,4,zaciancrowned,0.5446153846153846,,zaciancrowned,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 135.0), ('move', 'closecombat', 120.0), ('switch', 'kyogre', 115.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:behemothblade,150.0,True
battle-gen9ubers-4114,4,zaciancrowned,0,FNT,zaciancrowned,0.24,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-4114,5,eternatus,1.0,,zaciancrowned,0.24,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-4114,6,eternatus,1.0,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 215.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('switch', 'ribombee', 125.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,215.0,True
battle-gen9ubers-4114,7,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-4114,8,arceusghost,0.6318407960199005,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-4114,9,arceusghost,0.46766169154228854,,eternatus,1.0,,general_scoring,"[('switch', 'eternatus', 155.0), ('move', 'judgment', 150.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'ribombee', -2.5)]",switch:eternatus,155.0,True
battle-gen9ubers-4114,9,eternatus,0,FNT,eternatus,1.0,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-4114,10,kyogre,0.875,,eternatus,1.0,,general_scoring,"[('move', 'earthquake', 200.0), ('switch', 'koraidon', 92.5), ('move', 'bodyslam', 85.0), ('move', 'terablast', 80.0), ('switch', 'arceusghost', 65.0), ('move', 'waterfall', 60.0), ('switch', 'ribombee', -2.5)]",move:earthquake,200.0,False
battle-gen9ubers-4114,11,kyogre,0.4654255319148936,,eternatus,0.23,,hard_ko,[],move:earthquake,,False
battle-gen9ubers-4114,12,kyogre,0.4654255319148936,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 530.0), ('move', 'earthquake', 100.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0)]",switch:ribombee,530.0,False
battle-gen9ubers-4114,12,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:koraidon,,True
battle-gen9ubers-4114,13,koraidon,0.8768328445747801,,koraidon,1.0,,general_scoring,"[('move', 'scaleshot', 237.5), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('move', 'flareblitz', 60.0), ('switch', 'kyogre', 15.0), ('move', 'taunt', 10.0)]",move:scaleshot,237.5,True
battle-gen9ubers-4114,14,koraidon,0.8768328445747801,,arceusfairy,1.0,,general_scoring,"[('move', 'flareblitz', 120.0), ('switch', 'arceusghost', 65.0), ('switch', 'kyogre', 35.0), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0), ('move', 'scaleshot', 0.0)]",move:flareblitz,120.0,True
battle-gen9ubers-4114,14,koraidon,0,FNT,arceusfairy,0.49,,forced_switch,[],switch:arceusghost,,True
battle-gen9ubers-4114,15,arceusghost,0.34328358208955223,,arceusfairy,0.49,,general_scoring,"[('move', 'judgment', 150.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0)]",move:judgment,150.0,True
battle-gen9ubers-4114,16,arceusghost,0.34328358208955223,,arceusfairy,0.09,,hard_ko,[],move:judgment,,True
battle-gen9ubers-4115,1,ribombee,1.0,,darkrai,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-4115,2,ribombee,0.0038314176245210726,,darkrai,1.0,,ribombee_opening,[],move:stunspore,,False
battle-gen9ubers-4115,2,ribombee,0,FNT,darkrai,1.0,,forced_switch,[],switch:zaciancrowned,,False
battle-gen9ubers-4115,3,zaciancrowned,1.0,,darkrai,1.0,,general_scoring,"[('move', 'closecombat', 240.0), ('move', 'behemothblade', 150.0), ('move', 'wildcharge', 90.0), ('switch', 'koraidon', 65.0), ('switch', 'eternatus', 65.0), ('move', 'swordsdance', 60.0), ('switch', 'kyogre', 35.0), ('switch', 'arceusghost', 15.0)]",move:closecombat,240.0,True
battle-gen9ubers-4115,4,zaciancrowned,1.0,,moltres,1.0,,general_scoring,"[('switch', 'eternatus', 395.0), ('switch', 'arceusghost', 235.0), ('move', 'wildcharge', 180.0), ('switch', 'kyogre', 155.0), ('move', 'behemothblade', 75.0), ('move', 'closecombat', 60.0), ('move', 'swordsdance', 0.0), ('switch', 'koraidon', -26.25)]",switch:eternatus,395.0,True
battle-gen9ubers-4115,5,eternatus,0.8574821852731591,,moltres,1.0,,hard_ko,[],move:meteorbeam,,True
battle-gen9ubers-4115,6,eternatus,0.8574821852731591,,greattusk,1.0,,general_scoring,"[('switch', 'kyogre', 155.0), ('move', 'dynamaxcannon', 150.0), ('move', 'fireblast', 110.0), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('switch', 'koraidon', 35.0), ('move', 'meteorbeam', 30.0), ('switch', 'zaciancrowned', 5.0)]",switch:kyogre,155.0,True
battle-gen9ubers-4115,7,kyogre,0.824468085106383,,greattusk,1.0,,general_scoring,"[('move', 'waterfall', 240.0), ('move', 'earthquake', 100.0), ('move', 'bodyslam', 85.0), ('move', 'terablast', 80.0), ('switch', 'arceusghost', 65.0), ('switch', 'koraidon', 35.0), ('switch', 'zaciancrowned', 5.0), ('switch', 'eternatus', 5.0)]",move:waterfall,240.0,False
