battle_tag,opponent_username,won,turn,event
battle-gen9ubers-1726,simple-uber-1,True,0,|init|battle
battle-gen9ubers-1726,simple-uber-1,True,0,|title|wche652a0 vs. simple-uber-1
battle-gen9ubers-1726,simple-uber-1,True,0,|j|☆wche652a0
battle-gen9ubers-1726,simple-uber-1,True,0,|j|☆simple-uber-1
battle-gen9ubers-1726,simple-uber-1,True,0,|gametype|singles
battle-gen9ubers-1726,simple-uber-1,True,0,|player|p1|wche652a0|170|
battle-gen9ubers-1726,simple-uber-1,True,0,|player|p2|simple-uber-1|101|
battle-gen9ubers-1726,simple-uber-1,True,0,|gen|9
battle-gen9ubers-1726,simple-uber-1,True,0,|tier|[Gen 9] Ubers
battle-gen9ubers-1726,simple-uber-1,True,0,|rule|HP Percentage Mod: HP is shown in percentages
battle-gen9ubers-1726,simple-uber-1,True,0,|rule|Endless Battle Clause: Forcing endless battles is banned
battle-gen9ubers-1726,simple-uber-1,True,0,|rule|Sleep Clause Mod: Limit one foe put to sleep
battle-gen9ubers-1726,simple-uber-1,True,0,|rule|Species Clause: Limit one of each Pokémon
battle-gen9ubers-1726,simple-uber-1,True,0,|rule|OHKO Clause: OHKO moves are banned
battle-gen9ubers-1726,simple-uber-1,True,0,|rule|Evasion Items Clause: Evasion items are banned
battle-gen9ubers-1726,simple-uber-1,True,0,|rule|Evasion Moves Clause: Evasion moves are banned
battle-gen9ubers-1726,simple-uber-1,True,0,|clearpoke
battle-gen9ubers-1726,simple-uber-1,True,0,"|poke|p1|Ribombee, F|"
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p1|Koraidon|
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p1|Arceus-Ghost|
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p1|Zacian-*|
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p1|Eternatus|
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p1|Kyogre|
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p2|Deoxys-Speed|
battle-gen9ubers-1726,simple-uber-1,True,0,"|poke|p2|Kingambit, F|"
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p2|Zacian-*|
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p2|Arceus-Fairy|
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p2|Eternatus|
battle-gen9ubers-1726,simple-uber-1,True,0,|poke|p2|Koraidon|
battle-gen9ubers-1726,simple-uber-1,True,0,|teampreview
battle-gen9ubers-1726,simple-uber-1,True,0,|
battle-gen9ubers-1726,simple-uber-1,True,0,|teamsize|p1|6
battle-gen9ubers-1726,simple-uber-1,True,0,|teamsize|p2|6
battle-gen9ubers-1726,simple-uber-1,True,0,|start
battle-gen9ubers-1726,simple-uber-1,True,0,"|switch|p1a: Ribombee|Ribombee, F|261/261"
battle-gen9ubers-1726,simple-uber-1,True,0,|switch|p2a: Zacian|Zacian-Crowned|100/100
battle-gen9ubers-1726,simple-uber-1,True,0,|-ability|p2a: Zacian|Intrepid Sword|boost
battle-gen9ubers-1726,simple-uber-1,True,0,|-boost|p2a: Zacian|atk|1
battle-gen9ubers-1726,simple-uber-1,True,0,|turn|1
battle-gen9ubers-1726,simple-uber-1,True,1,|
battle-gen9ubers-1726,simple-uber-1,True,1,|move|p2a: Zacian|Behemoth Blade|p1a: Ribombee
battle-gen9ubers-1726,simple-uber-1,True,1,|-supereffective|p1a: Ribombee
battle-gen9ubers-1726,simple-uber-1,True,1,|-enditem|p1a: Ribombee|Focus Sash
battle-gen9ubers-1726,simple-uber-1,True,1,|-damage|p1a: Ribombee|1/261
battle-gen9ubers-1726,simple-uber-1,True,1,|move|p1a: Ribombee|Sticky Web|p2a: Zacian
battle-gen9ubers-1726,simple-uber-1,True,1,|-sidestart|p2: simple-uber-1|move: Sticky Web
battle-gen9ubers-1726,simple-uber-1,True,1,|
battle-gen9ubers-1726,simple-uber-1,True,1,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,1,|turn|2
battle-gen9ubers-1726,simple-uber-1,True,2,|
battle-gen9ubers-1726,simple-uber-1,True,2,|move|p2a: Zacian|Behemoth Blade|p1a: Ribombee
battle-gen9ubers-1726,simple-uber-1,True,2,|-supereffective|p1a: Ribombee
battle-gen9ubers-1726,simple-uber-1,True,2,|-damage|p1a: Ribombee|0 fnt
battle-gen9ubers-1726,simple-uber-1,True,2,|faint|p1a: Ribombee
battle-gen9ubers-1726,simple-uber-1,True,2,|
battle-gen9ubers-1726,simple-uber-1,True,2,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,2,|
battle-gen9ubers-1726,simple-uber-1,True,2,|switch|p1a: Eternatus|Eternatus|421/421
battle-gen9ubers-1726,simple-uber-1,True,2,|-ability|p1a: Eternatus|Pressure
battle-gen9ubers-1726,simple-uber-1,True,2,|turn|3
battle-gen9ubers-1726,simple-uber-1,True,3,|
battle-gen9ubers-1726,simple-uber-1,True,3,|move|p2a: Zacian|Behemoth Blade|p1a: Eternatus
battle-gen9ubers-1726,simple-uber-1,True,3,|-damage|p1a: Eternatus|130/421
battle-gen9ubers-1726,simple-uber-1,True,3,|move|p1a: Eternatus|Fire Blast|p2a: Zacian
battle-gen9ubers-1726,simple-uber-1,True,3,|-supereffective|p2a: Zacian
battle-gen9ubers-1726,simple-uber-1,True,3,|-damage|p2a: Zacian|11/100
battle-gen9ubers-1726,simple-uber-1,True,3,|-status|p2a: Zacian|brn
battle-gen9ubers-1726,simple-uber-1,True,3,|
battle-gen9ubers-1726,simple-uber-1,True,3,|-damage|p2a: Zacian|4/100 brn|[from] brn
battle-gen9ubers-1726,simple-uber-1,True,3,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,3,|turn|4
battle-gen9ubers-1726,simple-uber-1,True,4,|
battle-gen9ubers-1726,simple-uber-1,True,4,|move|p2a: Zacian|Behemoth Blade|p1a: Eternatus
battle-gen9ubers-1726,simple-uber-1,True,4,|-damage|p1a: Eternatus|0 fnt
battle-gen9ubers-1726,simple-uber-1,True,4,|faint|p1a: Eternatus
battle-gen9ubers-1726,simple-uber-1,True,4,|
battle-gen9ubers-1726,simple-uber-1,True,4,|-damage|p2a: Zacian|0 fnt|[from] brn
battle-gen9ubers-1726,simple-uber-1,True,4,|faint|p2a: Zacian
battle-gen9ubers-1726,simple-uber-1,True,4,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,4,|
battle-gen9ubers-1726,simple-uber-1,True,4,|switch|p2a: Deoxys|Deoxys-Speed|100/100
battle-gen9ubers-1726,simple-uber-1,True,4,|switch|p1a: Kyogre|Kyogre|376/376
battle-gen9ubers-1726,simple-uber-1,True,4,|-activate|p2a: Deoxys|move: Sticky Web
battle-gen9ubers-1726,simple-uber-1,True,4,|-unboost|p2a: Deoxys|spe|1
battle-gen9ubers-1726,simple-uber-1,True,4,|-ability|p2a: Deoxys|Pressure
battle-gen9ubers-1726,simple-uber-1,True,4,|-weather|RainDance|[from] ability: Drizzle|[of] p1a: Kyogre
battle-gen9ubers-1726,simple-uber-1,True,4,|turn|5
battle-gen9ubers-1726,simple-uber-1,True,5,|
battle-gen9ubers-1726,simple-uber-1,True,5,|move|p2a: Deoxys|Spikes|p1a: Kyogre
battle-gen9ubers-1726,simple-uber-1,True,5,|-sidestart|p1: wche652a0|Spikes
battle-gen9ubers-1726,simple-uber-1,True,5,|move|p1a: Kyogre|Waterfall|p2a: Deoxys
battle-gen9ubers-1726,simple-uber-1,True,5,|-enditem|p2a: Deoxys|Focus Sash
battle-gen9ubers-1726,simple-uber-1,True,5,|-damage|p2a: Deoxys|1/100
battle-gen9ubers-1726,simple-uber-1,True,5,|
battle-gen9ubers-1726,simple-uber-1,True,5,|-weather|RainDance|[upkeep]
battle-gen9ubers-1726,simple-uber-1,True,5,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,5,|turn|6
battle-gen9ubers-1726,simple-uber-1,True,6,|
battle-gen9ubers-1726,simple-uber-1,True,6,|move|p2a: Deoxys|Psycho Boost|p1a: Kyogre
battle-gen9ubers-1726,simple-uber-1,True,6,|-damage|p1a: Kyogre|252/376
battle-gen9ubers-1726,simple-uber-1,True,6,|-unboost|p2a: Deoxys|spa|2
battle-gen9ubers-1726,simple-uber-1,True,6,|move|p1a: Kyogre|Waterfall|p2a: Deoxys
battle-gen9ubers-1726,simple-uber-1,True,6,|-damage|p2a: Deoxys|0 fnt
battle-gen9ubers-1726,simple-uber-1,True,6,|faint|p2a: Deoxys
battle-gen9ubers-1726,simple-uber-1,True,6,|
battle-gen9ubers-1726,simple-uber-1,True,6,|-weather|RainDance|[upkeep]
battle-gen9ubers-1726,simple-uber-1,True,6,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,6,|
battle-gen9ubers-1726,simple-uber-1,True,6,|switch|p2a: Koraidon|Koraidon|100/100
battle-gen9ubers-1726,simple-uber-1,True,6,|-activate|p2a: Koraidon|move: Sticky Web
battle-gen9ubers-1726,simple-uber-1,True,6,|-unboost|p2a: Koraidon|spe|1
battle-gen9ubers-1726,simple-uber-1,True,6,|-weather|SunnyDay|[from] ability: Orichalcum Pulse|[of] p2a: Koraidon
battle-gen9ubers-1726,simple-uber-1,True,6,|-activate|p2a: Koraidon|Orichalcum Pulse|[source]
battle-gen9ubers-1726,simple-uber-1,True,6,|turn|7
battle-gen9ubers-1726,simple-uber-1,True,7,|
battle-gen9ubers-1726,simple-uber-1,True,7,|switch|p1a: Zacian|Zacian-Crowned|325/325
battle-gen9ubers-1726,simple-uber-1,True,7,|-damage|p1a: Zacian|285/325|[from] Spikes
battle-gen9ubers-1726,simple-uber-1,True,7,|-ability|p1a: Zacian|Intrepid Sword|boost
battle-gen9ubers-1726,simple-uber-1,True,7,|-boost|p1a: Zacian|atk|1
battle-gen9ubers-1726,simple-uber-1,True,7,|move|p2a: Koraidon|Close Combat|p1a: Zacian
battle-gen9ubers-1726,simple-uber-1,True,7,|-damage|p1a: Zacian|0 fnt
battle-gen9ubers-1726,simple-uber-1,True,7,|-unboost|p2a: Koraidon|def|1
battle-gen9ubers-1726,simple-uber-1,True,7,|-unboost|p2a: Koraidon|spd|1
battle-gen9ubers-1726,simple-uber-1,True,7,|faint|p1a: Zacian
battle-gen9ubers-1726,simple-uber-1,True,7,|-damage|p2a: Koraidon|91/100|[from] item: Life Orb
battle-gen9ubers-1726,simple-uber-1,True,7,|
battle-gen9ubers-1726,simple-uber-1,True,7,|-weather|SunnyDay|[upkeep]
battle-gen9ubers-1726,simple-uber-1,True,7,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,7,|
battle-gen9ubers-1726,simple-uber-1,True,7,|switch|p1a: Arceus|Arceus-Ghost|402/402
battle-gen9ubers-1726,simple-uber-1,True,7,|-damage|p1a: Arceus|352/402|[from] Spikes
battle-gen9ubers-1726,simple-uber-1,True,7,|turn|8
battle-gen9ubers-1726,simple-uber-1,True,8,|
battle-gen9ubers-1726,simple-uber-1,True,8,|move|p1a: Arceus|Judgment|p2a: Koraidon
battle-gen9ubers-1726,simple-uber-1,True,8,|-crit|p2a: Koraidon
battle-gen9ubers-1726,simple-uber-1,True,8,|-damage|p2a: Koraidon|0 fnt
battle-gen9ubers-1726,simple-uber-1,True,8,|faint|p2a: Koraidon
battle-gen9ubers-1726,simple-uber-1,True,8,|
battle-gen9ubers-1726,simple-uber-1,True,8,|-weather|SunnyDay|[upkeep]
battle-gen9ubers-1726,simple-uber-1,True,8,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,8,|
battle-gen9ubers-1726,simple-uber-1,True,8,"|switch|p2a: Kingambit|Kingambit, F|100/100"
battle-gen9ubers-1726,simple-uber-1,True,8,|-activate|p2a: Kingambit|move: Sticky Web
battle-gen9ubers-1726,simple-uber-1,True,8,|-unboost|p2a: Kingambit|spe|1
battle-gen9ubers-1726,simple-uber-1,True,8,|-activate|p2a: Kingambit|ability: Supreme Overlord
battle-gen9ubers-1726,simple-uber-1,True,8,|-start|p2a: Kingambit|fallen3|[silent]
battle-gen9ubers-1726,simple-uber-1,True,8,|turn|9
battle-gen9ubers-1726,simple-uber-1,True,9,|
battle-gen9ubers-1726,simple-uber-1,True,9,|move|p1a: Arceus|Aura Sphere|p2a: Kingambit
battle-gen9ubers-1726,simple-uber-1,True,9,|-supereffective|p2a: Kingambit
battle-gen9ubers-1726,simple-uber-1,True,9,|-damage|p2a: Kingambit|0 fnt
battle-gen9ubers-1726,simple-uber-1,True,9,|faint|p2a: Kingambit
battle-gen9ubers-1726,simple-uber-1,True,9,|-end|p2a: Kingambit|fallen3|[silent]
battle-gen9ubers-1726,simple-uber-1,True,9,|
battle-gen9ubers-1726,simple-uber-1,True,9,|-weather|SunnyDay|[upkeep]
battle-gen9ubers-1726,simple-uber-1,True,9,|upkeep
battle-gen9ubers-1726,simple-uber-1,True,9,|
battle-gen9ubers-1726,simple-uber-1,True,9,|switch|p2a: Eternatus|Eternatus|100/100
battle-gen9ubers-1726,simple-uber-1,True,9,|-activate|p2a: Eternatus|move: Sticky Web
battle-gen9ubers-1726,simple-uber-1,True,9,|-unboost|p2a: Eternatus|spe|1
battle-gen9ubers-1726,simple-uber-1,True,9,|-ability|p2a: Eternatus|Pressure
battle-gen9ubers-1726,simple-uber-1,True,9,|turn|10
battle-gen9ubers-1726,simple-uber-1,True,10,|
battle-gen9ubers-1726,simple-uber-1,True,10,|switch|p1a: Kyogre|Kyogre|252/376
battle-gen9ubers-1726,simple-uber-1,True,10,|-damage|p1a: Kyogre|205/376|[from] Spikes
battle-gen9ubers-1726,simple-uber-1,True,10,|-weather|RainDance|[from] ability: Drizzle|[of] p1a: Kyogre
battle-gen9ubers-1726,simple-uber-1,True,10,|move|p2a: Eternatus|Dynamax Cannon|p1a: Kyogre
battle-gen9ubers-1726,simple-uber-1,True,10,|-damage|p1a: Kyogre|52/376
battle-gen9ubers-1726,simple-uber-1,True,10,|
battle-gen9ubers-1726,simple-uber-1,True,10,|-weather|RainDance|[upkeep]
