config,opponent,repeats,mean_winrate,stdev_winrate,beaten_count
baseline,max_damage-nu,3,1.0,0.0,3
baseline,max_damage-ou,3,1.0,0.0,3
baseline,max_damage-ru,3,1.0,0.0,3
baseline,max_damage-uber,3,0.3333333333333333,0.5773502691896257,1
baseline,max_damage-uu,3,1.0,0.0,3
baseline,random-nu,3,1.0,0.0,3
baseline,random-ou,3,1.0,0.0,3
baseline,random-ru,3,1.0,0.0,3
baseline,random-uber,3,1.0,0.0,3
baseline,random-uu,3,1.0,0.0,3
baseline,simple-nu,3,1.0,0.0,3
baseline,simple-ou,3,1.0,0.0,3
baseline,simple-ru,3,1.0,0.0,3
baseline,simple-uber,3,0.7777777777777778,0.1924500897298753,3
baseline,simple-uu,3,0.8888888888888888,0.1924500897298753,3
