battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-6530,1,ribombee,1.0,,eternatus,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-6530,2,ribombee,0.0038314176245210726,,eternatus,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-6530,2,ribombee,0.0038314176245210726,,eternatus,0.95,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-6530,3,eternatus,1.0,,eternatus,0.95,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('switch', 'zaciancrowned', 125.0), ('move', 'meteorbeam', 120.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('move', 'fireblast', 55.0), ('switch', 'ribombee', -2.5)]",move:dynamaxcannon,300.0,False
battle-gen9ubers-6530,4,eternatus,0.12351543942992874,,eternatus,0.03,,hard_ko,[],move:dynamaxcannon,,False
battle-gen9ubers-6530,5,eternatus,0.12351543942992874,,zaciancrowned,1.0,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'kyogre', 115.0), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'sludgebomb', 0.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:fireblast,220.0,True
battle-gen9ubers-6530,5,eternatus,0,FNT,zaciancrowned,0.19,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-6530,6,kyogre,1.0,,zaciancrowned,0.19,,hard_ko,[],move:earthquake,,False
battle-gen9ubers-6530,6,kyogre,0,FNT,zaciancrowned,0,FNT,forced_switch,[],switch:arceusghost,,False
battle-gen9ubers-6530,7,arceusghost,1.0,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 600.0), ('move', 'judgment', 150.0), ('switch', 'koraidon', 92.5), ('move', 'aurasphere', 80.0), ('switch', 'zaciancrowned', 65.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0)]",switch:ribombee,600.0,True
battle-gen9ubers-6530,8,ribombee,0.0038314176245210726,,koraidon,1.0,,hard_ko,[],move:moonblast,,True
battle-gen9ubers-6530,9,ribombee,0.0038314176245210726,,kingambit,0.56,,general_scoring,"[('switch', 'zaciancrowned', 395.0), ('switch', 'arceusghost', 175.0), ('switch', 'koraidon', 155.0), ('move', 'moonblast', 142.5), ('move', 'uturn', 105.0), ('move', 'stunspore', 30.0), ('move', 'stickyweb', 10.0)]",switch:zaciancrowned,395.0,True
battle-gen9ubers-6530,10,zaciancrowned,0.4707692307692308,,kingambit,0.56,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-6530,11,zaciancrowned,0.4707692307692308,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 285.0), ('move', 'behemothblade', 150.0), ('switch', 'ribombee', 125.0), ('move', 'wildcharge', 90.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,285.0,True
battle-gen9ubers-6530,12,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('switch', 'zaciancrowned', 95.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-6530,13,arceusghost,0.6840796019900498,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-6530,14,arceusghost,0.5099502487562189,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 600.0), ('move', 'judgment', 150.0), ('switch', 'koraidon', 92.5), ('move', 'aurasphere', 80.0), ('switch', 'zaciancrowned', 65.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0)]",switch:ribombee,600.0,True
battle-gen9ubers-6530,14,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:koraidon,,True
battle-gen9ubers-6530,15,koraidon,0.8768328445747801,,koraidon,1.0,,general_scoring,"[('move', 'scaleshot', 237.5), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 65.0), ('move', 'flareblitz', 60.0), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0)]",move:scaleshot,237.5,True
battle-gen9ubers-6530,15,koraidon,0,FNT,koraidon,0.91,,forced_switch,[],switch:arceusghost,,False
battle-gen9ubers-6530,16,arceusghost,0.3855721393034826,,koraidon,0.91,,general_scoring,"[('move', 'judgment', 150.0), ('move', 'aurasphere', 80.0), ('switch', 'zaciancrowned', 65.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0)]",move:judgment,150.0,False
battle-gen9ubers-6530,16,arceusghost,0,FNT,koraidon,0.81,,forced_switch,[],switch:zaciancrowned,,False
battle-gen9ubers-6530,17,zaciancrowned,0.3476923076923077,,koraidon,0.81,,general_scoring,"[('move', 'behemothblade', 150.0), ('move', 'closecombat', 120.0), ('move', 'swordsdance', 60.0), ('move', 'wildcharge', 45.0)]",move:behemothblade,150.0,False
battle-gen9ubers-6531,1,ribombee,1.0,,deoxysspeed,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-6531,2,ribombee,1.0,,deoxysspeed,1.0,,ribombee_opening,[],move:stunspore,,False
battle-gen9ubers-6531,3,ribombee,0.0038314176245210726,,deoxysspeed,1.0,PAR,general_scoring,"[('switch', 'arceusghost', 285.0), ('move', 'uturn', 210.0), ('move', 'moonblast', 142.5), ('switch', 'zaciancrowned', 95.0), ('switch', 'kyogre', 35.0), ('move', 'stunspore', 10.0), ('move', 'stickyweb', 10.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,285.0,True
battle-gen9ubers-6531,4,arceusghost,0.7039800995024875,,deoxysspeed,1.0,PAR,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('switch', 'zaciancrowned', 95.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,True
battle-gen9ubers-6531,5,arceusghost,0.7039800995024875,,kingambit,0.67,,hard_ko,[],move:aurasphere,,True
battle-gen9ubers-6531,6,arceusghost,0.7039800995024875,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 600.0), ('switch', 'eternatus', 155.0), ('move', 'judgment', 150.0), ('switch', 'koraidon', 92.5), ('move', 'aurasphere', 80.0), ('switch', 'zaciancrowned', 65.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'kyogre', 15.0)]",switch:ribombee,600.0,True
battle-gen9ubers-6531,6,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6531,7,eternatus,0.8764845605700713,,koraidon,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",move:dynamaxcannon,300.0,True
battle-gen9ubers-6531,8,eternatus,0.8764845605700713,,deoxysspeed,1.0,PAR,general_scoring,"[('switch', 'arceusghost', 285.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,285.0,True
battle-gen9ubers-6531,9,arceusghost,0.0845771144278607,,deoxysspeed,1.0,PAR,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'zaciancrowned', 95.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,True
battle-gen9ubers-6531,10,arceusghost,0.0845771144278607,,deoxysspeed,0.01,PAR,hard_ko,[],move:judgment,,True
battle-gen9ubers-6531,11,arceusghost,0.0845771144278607,,zaciancrowned,1.0,,general_scoring,"[('move', 'judgment', 150.0), ('switch', 'eternatus', 135.0), ('switch', 'kyogre', 115.0), ('move', 'aurasphere', 80.0), ('switch', 'zaciancrowned', 65.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'koraidon', -25.0)]",move:judgment,150.0,True
battle-gen9ubers-6531,11,arceusghost,0,FNT,zaciancrowned,0.38,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6531,12,eternatus,0.7529691211401425,,zaciancrowned,0.38,,hard_ko,[],move:fireblast,,True
