battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-6698,1,ribombee,1.0,,kingambit,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-6698,2,ribombee,0.0038314176245210726,,kingambit,1.0,,ribombee_opening,[],move:uturn,,True
battle-gen9ubers-6698,2,ribombee,0.0038314176245210726,,kingambit,0.9,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-6698,3,zaciancrowned,0.5753846153846154,,kingambit,0.9,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-6698,4,zaciancrowned,0.5753846153846154,,zaciancrowned,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 135.0), ('move', 'closecombat', 120.0), ('switch', 'kyogre', 115.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:behemothblade,150.0,True
battle-gen9ubers-6698,4,zaciancrowned,0,FNT,zaciancrowned,0.17,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6698,5,eternatus,1.0,,zaciancrowned,0.17,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-6698,6,eternatus,0.21377672209026127,,zaciancrowned,0.17,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-6698,7,eternatus,0.21377672209026127,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 255.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('switch', 'ribombee', 125.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,255.0,True
battle-gen9ubers-6698,8,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-6698,9,arceusghost,0.6840796019900498,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-6698,10,arceusghost,0.5099502487562189,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 570.0), ('switch', 'eternatus', 155.0), ('move', 'judgment', 150.0), ('switch', 'koraidon', 92.5), ('move', 'aurasphere', 80.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'kyogre', 15.0)]",switch:ribombee,570.0,True
battle-gen9ubers-6698,10,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6698,11,eternatus,0.09026128266033254,,koraidon,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",move:dynamaxcannon,300.0,True
battle-gen9ubers-6698,12,eternatus,0.09026128266033254,,eternatus,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'meteorbeam', 120.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('move', 'fireblast', 55.0)]",move:dynamaxcannon,300.0,True
battle-gen9ubers-6698,13,eternatus,0.09026128266033254,,arceusfairy,1.0,,general_scoring,"[('move', 'sludgebomb', 270.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'arceusghost', 65.0), ('switch', 'kyogre', 35.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', -145.0)]",move:sludgebomb,270.0,True
battle-gen9ubers-6698,13,eternatus,0,FNT,arceusfairy,0.16,PSN,forced_switch,[],switch:arceusghost,,True
battle-gen9ubers-6698,14,arceusghost,0.3855721393034826,,arceusfairy,0.16,PSN,hard_ko,[],move:judgment,,True
battle-gen9ubers-6699,1,ribombee,1.0,,koraidon,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-6699,2,ribombee,1.0,,zaciancrowned,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-6699,2,ribombee,0.0038314176245210726,,zaciancrowned,0.98,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-6699,3,eternatus,1.0,,zaciancrowned,0.98,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'kyogre', 115.0), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'sludgebomb', 0.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:fireblast,220.0,False
battle-gen9ubers-6699,4,eternatus,0.20190023752969122,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 255.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('switch', 'ribombee', 125.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,255.0,True
battle-gen9ubers-6699,5,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('switch', 'zaciancrowned', 95.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-6699,6,arceusghost,0.6417910447761194,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-6699,7,arceusghost,0.4701492537313433,,kingambit,1.0,,general_scoring,"[('switch', 'zaciancrowned', 395.0), ('move', 'aurasphere', 320.0), ('switch', 'koraidon', 155.0), ('switch', 'eternatus', 135.0), ('switch', 'kyogre', 115.0), ('move', 'judgment', 75.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'ribombee', -2.5)]",switch:zaciancrowned,395.0,True
battle-gen9ubers-6699,8,zaciancrowned,0.5261538461538462,,kingambit,1.0,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-6699,9,zaciancrowned,0.5261538461538462,,eternatus,1.0,,general_scoring,"[('switch', 'eternatus', 195.0), ('move', 'behemothblade', 150.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('move', 'wildcharge', 45.0), ('switch', 'ribombee', -2.5)]",switch:eternatus,195.0,True
battle-gen9ubers-6699,9,eternatus,0,FNT,eternatus,1.0,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-6699,10,zaciancrowned,0.40307692307692305,,eternatus,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'closecombat', 60.0), ('move', 'wildcharge', 45.0), ('move', 'swordsdance', 0.0), ('switch', 'ribombee', -2.5)]",move:behemothblade,150.0,True
battle-gen9ubers-6699,10,zaciancrowned,0,FNT,eternatus,0.51,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-6699,11,kyogre,0.875,,eternatus,0.51,,general_scoring,"[('move', 'earthquake', 200.0), ('switch', 'koraidon', 92.5), ('move', 'bodyslam', 85.0), ('move', 'terablast', 80.0), ('switch', 'arceusghost', 65.0), ('move', 'waterfall', 60.0), ('switch', 'ribombee', -2.5)]",move:earthquake,200.0,False
battle-gen9ubers-6699,12,kyogre,0.875,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 570.0), ('move', 'earthquake', 100.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0)]",switch:ribombee,570.0,False
battle-gen9ubers-6699,12,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:koraidon,,True
battle-gen9ubers-6699,13,koraidon,0.8768328445747801,,koraidon,1.0,,general_scoring,"[('move', 'scaleshot', 237.5), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('move', 'flareblitz', 60.0), ('switch', 'kyogre', 15.0), ('move', 'taunt', 10.0)]",move:scaleshot,237.5,True
battle-gen9ubers-6699,14,koraidon,0.8768328445747801,,arceusfairy,1.0,,general_scoring,"[('move', 'flareblitz', 120.0), ('switch', 'arceusghost', 65.0), ('switch', 'kyogre', 35.0), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0), ('move', 'scaleshot', 0.0)]",move:flareblitz,120.0,True
battle-gen9ubers-6699,14,koraidon,0,FNT,arceusfairy,0.56,,forced_switch,[],switch:arceusghost,,True
battle-gen9ubers-6699,15,arceusghost,0.34577114427860695,,arceusfairy,0.56,,general_scoring,"[('move', 'judgment', 150.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0)]",move:judgment,150.0,True
battle-gen9ubers-6699,16,arceusghost,0.34577114427860695,,arceusfairy,0.13,,hard_ko,[],move:judgment,,True
battle-gen9ubers-6700,1,ribombee,1.0,,eternatus,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-6700,2,ribombee,0.0038314176245210726,,eternatus,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-6700,2,ribombee,0.0038314176245210726,,eternatus,0.95,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-6700,3,eternatus,1.0,,eternatus,0.95,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('switch', 'zaciancrowned', 125.0), ('move', 'meteorbeam', 120.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('move', 'fireblast', 55.0), ('switch', 'ribombee', -2.5)]",move:dynamaxcannon,300.0,False
battle-gen9ubers-6700,4,eternatus,1.0,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 255.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('switch', 'ribombee', 125.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,255.0,True
battle-gen9ubers-6700,5,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('switch', 'zaciancrowned', 95.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-6700,6,arceusghost,0.6567164179104478,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-6700,7,arceusghost,0.4925373134328358,,kingambit,1.0,,general_scoring,"[('switch', 'zaciancrowned', 395.0), ('move', 'aurasphere', 320.0), ('switch', 'koraidon', 155.0), ('switch', 'eternatus', 135.0), ('switch', 'kyogre', 115.0), ('move', 'judgment', 75.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'ribombee', -2.5)]",switch:zaciancrowned,395.0,True
battle-gen9ubers-6700,8,zaciancrowned,0.5476923076923077,,kingambit,1.0,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-6700,9,zaciancrowned,0.5476923076923077,,zaciancrowned,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 135.0), ('move', 'closecombat', 120.0), ('switch', 'kyogre', 115.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:behemothblade,150.0,True
battle-gen9ubers-6700,9,zaciancrowned,0,FNT,zaciancrowned,0.15,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6700,10,eternatus,0.8764845605700713,,zaciancrowned,0.15,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-6700,11,eternatus,0.8764845605700713,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 570.0), ('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",switch:ribombee,570.0,True
battle-gen9ubers-6700,11,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6700,12,eternatus,0.7529691211401425,,koraidon,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",move:dynamaxcannon,300.0,True
battle-gen9ubers-6700,13,eternatus,0.7529691211401425,,arceusfairy,1.0,,general_scoring,"[('move', 'sludgebomb', 270.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'arceusghost', 65.0), ('switch', 'kyogre', 35.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', -145.0)]",move:sludgebomb,270.0,True
battle-gen9ubers-6700,14,eternatus,0.3182897862232779,,arceusfairy,0.14,PSN,hard_ko,[],move:sludgebomb,,True
battle-gen9ubers-6701,1,ribombee,1.0,,garganacl,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-6701,2,ribombee,0.4482758620689655,,garganacl,1.0,,ribombee_opening,[],move:uturn,,True
battle-gen9ubers-6701,2,ribombee,0.4482758620689655,,garganacl,0.92,,forced_switch,[],switch:zaciancrowned,,True
