battle_tag,opponent_username,won,turn,event
battle-gen9ubers-3101,simple-uber-301,True,0,|init|battle
battle-gen9ubers-3101,simple-uber-301,True,0,|title|wche652a3 vs. simple-uber-301
battle-gen9ubers-3101,simple-uber-301,True,0,|j|☆wche652a3
battle-gen9ubers-3101,simple-uber-301,True,0,|j|☆simple-uber-301
battle-gen9ubers-3101,simple-uber-301,True,0,|gametype|singles
battle-gen9ubers-3101,simple-uber-301,True,0,|player|p1|wche652a3|1|
battle-gen9ubers-3101,simple-uber-301,True,0,|player|p2|simple-uber-301|169|
battle-gen9ubers-3101,simple-uber-301,True,0,|gen|9
battle-gen9ubers-3101,simple-uber-301,True,0,|tier|[Gen 9] Ubers
battle-gen9ubers-3101,simple-uber-301,True,0,|rule|HP Percentage Mod: HP is shown in percentages
battle-gen9ubers-3101,simple-uber-301,True,0,|rule|Endless Battle Clause: Forcing endless battles is banned
battle-gen9ubers-3101,simple-uber-301,True,0,|rule|Sleep Clause Mod: Limit one foe put to sleep
battle-gen9ubers-3101,simple-uber-301,True,0,|rule|Species Clause: Limit one of each Pokémon
battle-gen9ubers-3101,simple-uber-301,True,0,|rule|OHKO Clause: OHKO moves are banned
battle-gen9ubers-3101,simple-uber-301,True,0,|rule|Evasion Items Clause: Evasion items are banned
battle-gen9ubers-3101,simple-uber-301,True,0,|rule|Evasion Moves Clause: Evasion moves are banned
battle-gen9ubers-3101,simple-uber-301,True,0,|clearpoke
battle-gen9ubers-3101,simple-uber-301,True,0,"|poke|p1|Ribombee, F|"
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p1|Koraidon|
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p1|Arceus-Ghost|
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p1|Zacian-*|
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p1|Eternatus|
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p1|Kyogre|
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p2|Deoxys-Speed|
battle-gen9ubers-3101,simple-uber-301,True,0,"|poke|p2|Kingambit, M|"
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p2|Zacian-*|
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p2|Arceus-Fairy|
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p2|Eternatus|
battle-gen9ubers-3101,simple-uber-301,True,0,|poke|p2|Koraidon|
battle-gen9ubers-3101,simple-uber-301,True,0,|teampreview
battle-gen9ubers-3101,simple-uber-301,True,0,|
battle-gen9ubers-3101,simple-uber-301,True,0,|teamsize|p1|6
battle-gen9ubers-3101,simple-uber-301,True,0,|teamsize|p2|6
battle-gen9ubers-3101,simple-uber-301,True,0,|start
battle-gen9ubers-3101,simple-uber-301,True,0,"|switch|p1a: Ribombee|Ribombee, F|261/261"
battle-gen9ubers-3101,simple-uber-301,True,0,|switch|p2a: Arceus|Arceus-Fairy|100/100
battle-gen9ubers-3101,simple-uber-301,True,0,|turn|1
battle-gen9ubers-3101,simple-uber-301,True,1,|
battle-gen9ubers-3101,simple-uber-301,True,1,|move|p1a: Ribombee|Sticky Web|p2a: Arceus
battle-gen9ubers-3101,simple-uber-301,True,1,|-sidestart|p2: simple-uber-301|move: Sticky Web
battle-gen9ubers-3101,simple-uber-301,True,1,|move|p2a: Arceus|Judgment|p1a: Ribombee
battle-gen9ubers-3101,simple-uber-301,True,1,|-damage|p1a: Ribombee|36/261
battle-gen9ubers-3101,simple-uber-301,True,1,|
battle-gen9ubers-3101,simple-uber-301,True,1,|upkeep
