config,opponent,repeats,mean_winrate,stdev_winrate,beaten_count
setup_weight_45,max_damage-nu,3,1.0,0.0,3
setup_weight_45,max_damage-ou,3,1.0,0.0,3
setup_weight_45,max_damage-ru,3,1.0,0.0,3
setup_weight_45,max_damage-uber,3,0.0,0.0,0
setup_weight_45,max_damage-uu,3,1.0,0.0,3
setup_weight_45,random-nu,3,1.0,0.0,3
setup_weight_45,random-ou,3,1.0,0.0,3
setup_weight_45,random-ru,3,1.0,0.0,3
setup_weight_45,random-uber,3,1.0,0.0,3
setup_weight_45,random-uu,3,1.0,0.0,3
setup_weight_45,simple-nu,3,0.8888888888888888,0.1924500897298753,3
setup_weight_45,simple-ou,3,1.0,0.0,3
setup_weight_45,simple-ru,3,1.0,0.0,3
setup_weight_45,simple-uber,3,0.8888888888888888,0.1924500897298753,3
setup_weight_45,simple-uu,3,0.8888888888888888,0.1924500897298753,3
