config,opponent,repeats,mean_winrate,stdev_winrate,beaten_count
survival_threshold_high,max_damage-nu,3,1.0,0.0,3
survival_threshold_high,max_damage-ou,3,1.0,0.0,3
survival_threshold_high,max_damage-ru,3,1.0,0.0,3
survival_threshold_high,max_damage-uber,3,1.0,0.0,3
survival_threshold_high,max_damage-uu,3,1.0,0.0,3
survival_threshold_high,random-nu,3,1.0,0.0,3
survival_threshold_high,random-ou,3,1.0,0.0,3
survival_threshold_high,random-ru,3,1.0,0.0,3
survival_threshold_high,random-uber,3,1.0,0.0,3
survival_threshold_high,random-uu,3,1.0,0.0,3
survival_threshold_high,simple-nu,3,1.0,0.0,3
survival_threshold_high,simple-ou,3,1.0,0.0,3
survival_threshold_high,simple-ru,3,1.0,0.0,3
survival_threshold_high,simple-uber,3,1.0,0.0,3
survival_threshold_high,simple-uu,3,1.0,0.0,3
