battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-4751,1,ribombee,1.0,,koraidon,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-4751,2,ribombee,1.0,,zaciancrowned,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-4751,2,ribombee,0.0038314176245210726,,zaciancrowned,0.98,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-4751,3,eternatus,1.0,,zaciancrowned,0.98,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'kyogre', 140.0), ('switch', 'arceusghost', 90.0), ('switch', 'zaciancrowned', 90.0), ('move', 'meteorbeam', 60.0), ('move', 'sludgebomb', 0.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', 0.0), ('switch', 'ribombee', -48.75)]",move:fireblast,220.0,False
battle-gen9ubers-4751,4,eternatus,0.2209026128266033,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 240.0), ('move', 'dynamaxcannon', 150.0), ('switch', 'ribombee', 150.0), ('move', 'sludgebomb', 135.0), ('move', 'meteorbeam', 120.0), ('switch', 'zaciancrowned', 120.0), ('move', 'fireblast', 110.0), ('switch', 'kyogre', 60.0), ('switch', 'koraidon', 0.0)]",switch:arceusghost,240.0,True
battle-gen9ubers-4751,5,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 150.0), ('switch', 'zaciancrowned', 120.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('switch', 'kyogre', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'eternatus', 30.0), ('switch', 'koraidon', 0.0)]",move:judgment,300.0,False
battle-gen9ubers-4751,6,arceusghost,0.6616915422885572,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-4751,7,arceusghost,0.48009950248756217,,kingambit,1.0,,general_scoring,"[('switch', 'zaciancrowned', 420.0), ('move', 'aurasphere', 320.0), ('switch', 'koraidon', 180.0), ('switch', 'eternatus', 160.0), ('switch', 'kyogre', 140.0), ('move', 'judgment', 75.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'ribombee', 22.5)]",switch:zaciancrowned,420.0,True
battle-gen9ubers-4751,8,zaciancrowned,0.5538461538461539,,kingambit,1.0,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-4751,9,zaciancrowned,0.5538461538461539,,eternatus,1.0,,general_scoring,"[('switch', 'eternatus', 180.0), ('move', 'behemothblade', 150.0), ('switch', 'kyogre', 140.0), ('switch', 'koraidon', 117.5), ('switch', 'arceusghost', 90.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('move', 'wildcharge', 45.0), ('switch', 'ribombee', 22.5)]",switch:eternatus,180.0,True
battle-gen9ubers-4751,9,eternatus,0,FNT,eternatus,1.0,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-4751,10,zaciancrowned,0.4307692307692308,,eternatus,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'kyogre', 140.0), ('switch', 'koraidon', 117.5), ('switch', 'arceusghost', 90.0), ('move', 'closecombat', 60.0), ('move', 'wildcharge', 45.0), ('switch', 'ribombee', 22.5), ('move', 'swordsdance', 0.0)]",move:behemothblade,150.0,True
battle-gen9ubers-4751,10,zaciancrowned,0,FNT,eternatus,0.52,,forced_switch,[],switch:kyogre,,True
