battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-8389,1,ribombee,1.0,,kingambit,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-8389,2,ribombee,0.0038314176245210726,,kingambit,1.0,,ribombee_opening,[],move:uturn,,True
battle-gen9ubers-8389,2,ribombee,0.0038314176245210726,,kingambit,0.9,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-8389,3,zaciancrowned,0.5815384615384616,,kingambit,0.9,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-8389,4,zaciancrowned,0.5815384615384616,,zaciancrowned,1.0,,general_scoring,"[('switch', 'eternatus', 165.0), ('move', 'behemothblade', 150.0), ('switch', 'kyogre', 145.0), ('move', 'closecombat', 120.0), ('switch', 'koraidon', 95.0), ('switch', 'arceusghost', 95.0), ('move', 'wildcharge', 90.0), ('move', 'swordsdance', 60.0), ('switch', 'ribombee', -13.75)]",switch:eternatus,165.0,True
battle-gen9ubers-8389,5,eternatus,0.2209026128266033,,zaciancrowned,1.0,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'kyogre', 145.0), ('switch', 'koraidon', 95.0), ('switch', 'arceusghost', 95.0), ('switch', 'zaciancrowned', 95.0), ('move', 'meteorbeam', 60.0), ('move', 'sludgebomb', 0.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'ribombee', -13.75)]",move:fireblast,220.0,True
battle-gen9ubers-8389,5,eternatus,0,FNT,zaciancrowned,0.23,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-8389,6,kyogre,1.0,,zaciancrowned,0.23,,hard_ko,[],move:earthquake,,False
battle-gen9ubers-8389,6,kyogre,0,FNT,zaciancrowned,0,FNT,forced_switch,[],switch:koraidon,,False
battle-gen9ubers-8389,7,koraidon,1.0,,eternatus,1.0,,general_scoring,"[('move', 'scaleshot', 237.5), ('switch', 'zaciancrowned', 125.0), ('switch', 'arceusghost', 95.0), ('move', 'flareblitz', 60.0), ('switch', 'ribombee', 57.5), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0)]",move:scaleshot,237.5,True
battle-gen9ubers-8389,8,koraidon,1.0,,arceusfairy,1.0,,general_scoring,"[('switch', 'zaciancrowned', 260.0), ('move', 'flareblitz', 120.0), ('switch', 'arceusghost', 95.0), ('switch', 'ribombee', 87.5), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0), ('move', 'scaleshot', 0.0)]",switch:zaciancrowned,260.0,True
battle-gen9ubers-8389,9,zaciancrowned,0.36,,arceusfairy,1.0,,general_scoring,"[('move', 'behemothblade', 300.0), ('switch', 'arceusghost', 95.0), ('move', 'wildcharge', 90.0), ('switch', 'ribombee', 87.5), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('switch', 'koraidon', -25.0)]",move:behemothblade,300.0,True
battle-gen9ubers-8389,10,zaciancrowned,0.12923076923076923,,arceusfairy,0.38,,hard_ko,[],move:behemothblade,,True
battle-gen9ubers-8389,11,zaciancrowned,0.12923076923076923,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 285.0), ('switch', 'ribombee', 155.0), ('move', 'behemothblade', 150.0), ('move', 'wildcharge', 90.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('switch', 'koraidon', 35.0)]",switch:arceusghost,285.0,True
battle-gen9ubers-8389,12,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 155.0), ('switch', 'zaciancrowned', 110.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'koraidon', 35.0)]",move:judgment,300.0,False
battle-gen9ubers-8389,13,arceusghost,1.0,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-8389,14,arceusghost,0.6616915422885572,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 577.5), ('switch', 'koraidon', 152.5), ('move', 'judgment', 150.0), ('switch', 'zaciancrowned', 95.0), ('move', 'aurasphere', 80.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0)]",switch:ribombee,577.5,True
battle-gen9ubers-8389,14,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:koraidon,,True
battle-gen9ubers-8389,15,koraidon,0.8768328445747801,,koraidon,1.0,,general_scoring,"[('move', 'scaleshot', 237.5), ('switch', 'zaciancrowned', 95.0), ('switch', 'arceusghost', 95.0), ('move', 'flareblitz', 60.0), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0)]",move:scaleshot,237.5,True
battle-gen9ubers-8390,1,ribombee,1.0,,eternatus,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-8390,2,ribombee,0.0038314176245210726,,eternatus,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-8390,2,ribombee,0.0038314176245210726,,eternatus,0.95,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-8390,3,eternatus,1.0,,eternatus,0.95,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('switch', 'koraidon', 152.5), ('switch', 'kyogre', 145.0), ('switch', 'zaciancrowned', 125.0), ('move', 'meteorbeam', 120.0), ('switch', 'arceusghost', 95.0), ('move', 'sludgebomb', 67.5), ('switch', 'ribombee', 57.5), ('move', 'fireblast', 55.0)]",move:dynamaxcannon,300.0,False
battle-gen9ubers-8390,4,eternatus,1.0,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 285.0), ('switch', 'ribombee', 155.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'zaciancrowned', 110.0), ('switch', 'kyogre', 65.0), ('switch', 'koraidon', 35.0)]",switch:arceusghost,285.0,True
battle-gen9ubers-8390,5,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 155.0), ('switch', 'zaciancrowned', 110.0), ('move', 'powergem', 80.0), ('switch', 'eternatus', 65.0), ('switch', 'kyogre', 65.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'koraidon', 35.0)]",move:judgment,300.0,False
battle-gen9ubers-8390,6,arceusghost,0.6691542288557214,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-8390,7,arceusghost,0.5049751243781094,,kingambit,1.0,,general_scoring,"[('switch', 'zaciancrowned', 425.0), ('move', 'aurasphere', 320.0), ('switch', 'koraidon', 185.0), ('switch', 'eternatus', 165.0), ('switch', 'kyogre', 145.0), ('move', 'judgment', 75.0), ('move', 'calmmind', 60.0), ('switch', 'ribombee', 57.5), ('move', 'powergem', 40.0)]",switch:zaciancrowned,425.0,True
battle-gen9ubers-8390,8,zaciancrowned,0.5446153846153846,,kingambit,1.0,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-8390,9,zaciancrowned,0.5446153846153846,,zaciancrowned,1.0,,general_scoring,"[('switch', 'eternatus', 165.0), ('move', 'behemothblade', 150.0), ('switch', 'kyogre', 145.0), ('move', 'closecombat', 120.0), ('switch', 'koraidon', 95.0), ('switch', 'arceusghost', 95.0), ('move', 'wildcharge', 90.0), ('move', 'swordsdance', 60.0), ('switch', 'ribombee', -13.75)]",switch:eternatus,165.0,True
battle-gen9ubers-8390,10,eternatus,0.17577197149643706,,zaciancrowned,1.0,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'kyogre', 145.0), ('switch', 'koraidon', 95.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'arceusghost', 95.0), ('move', 'meteorbeam', 60.0), ('move', 'sludgebomb', 0.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'ribombee', -13.75)]",move:fireblast,220.0,True
battle-gen9ubers-8390,10,eternatus,0,FNT,zaciancrowned,0.19,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-8390,11,kyogre,0.875,,zaciancrowned,0.19,,hard_ko,[],move:earthquake,,False
battle-gen9ubers-8390,11,kyogre,0,FNT,zaciancrowned,0,FNT,forced_switch,[],switch:koraidon,,False
battle-gen9ubers-8390,12,koraidon,0.8768328445747801,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 577.5), ('move', 'scaleshot', 237.5), ('switch', 'zaciancrowned', 95.0), ('switch', 'arceusghost', 95.0), ('move', 'flareblitz', 60.0), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0)]",switch:ribombee,577.5,True
battle-gen9ubers-8390,12,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:koraidon,,True
battle-gen9ubers-8390,13,koraidon,0.7536656891495601,,koraidon,1.0,,general_scoring,"[('move', 'scaleshot', 237.5), ('switch', 'zaciancrowned', 95.0), ('switch', 'arceusghost', 95.0), ('move', 'flareblitz', 60.0), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0)]",move:scaleshot,237.5,True
battle-gen9ubers-8390,14,koraidon,0.7536656891495601,,arceusfairy,1.0,,general_scoring,"[('switch', 'zaciancrowned', 260.0), ('move', 'flareblitz', 120.0), ('switch', 'arceusghost', 95.0), ('move', 'taunt', 10.0), ('move', 'swordsdance', 0.0), ('move', 'scaleshot', 0.0)]",switch:zaciancrowned,260.0,True
battle-gen9ubers-8390,15,zaciancrowned,0.19384615384615383,,arceusfairy,1.0,,general_scoring,"[('move', 'behemothblade', 300.0), ('switch', 'arceusghost', 95.0), ('move', 'wildcharge', 90.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('switch', 'koraidon', -25.0)]",move:behemothblade,300.0,True
battle-gen9ubers-8390,15,zaciancrowned,0,FNT,arceusfairy,0.4,,forced_switch,[],switch:arceusghost,,True
battle-gen9ubers-8390,16,arceusghost,0.3805970149253731,,arceusfairy,0.4,,general_scoring,"[('move', 'judgment', 150.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'koraidon', -25.0)]",move:judgment,150.0,True
battle-gen9ubers-8391,1,ribombee,1.0,,eternatus,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-8391,2,ribombee,0.0038314176245210726,,eternatus,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-8391,2,ribombee,0.0038314176245210726,,eternatus,0.95,,forced_switch,[],switch:eternatus,,False
