battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-6572,1,ribombee,1.0,,eternatus,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-6572,2,ribombee,0.0038314176245210726,,eternatus,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-6572,2,ribombee,0.0038314176245210726,,eternatus,0.95,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-6572,3,eternatus,1.0,,eternatus,0.95,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('switch', 'zaciancrowned', 125.0), ('move', 'meteorbeam', 120.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('move', 'fireblast', 55.0), ('switch', 'ribombee', -2.5)]",move:dynamaxcannon,300.0,False
battle-gen9ubers-6572,4,eternatus,1.0,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 255.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('switch', 'ribombee', 125.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'zaciancrowned', 95.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,255.0,True
battle-gen9ubers-6572,5,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('switch', 'ribombee', 125.0), ('switch', 'zaciancrowned', 95.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-6572,6,arceusghost,0.654228855721393,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-6572,7,arceusghost,0.4975124378109453,,kingambit,1.0,,general_scoring,"[('switch', 'zaciancrowned', 395.0), ('move', 'aurasphere', 320.0), ('switch', 'koraidon', 155.0), ('switch', 'eternatus', 135.0), ('switch', 'kyogre', 115.0), ('move', 'judgment', 75.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'ribombee', -2.5)]",switch:zaciancrowned,395.0,True
battle-gen9ubers-6572,8,zaciancrowned,0.5446153846153846,,kingambit,1.0,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-6572,9,zaciancrowned,0.5446153846153846,,zaciancrowned,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 135.0), ('move', 'closecombat', 120.0), ('switch', 'kyogre', 115.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:behemothblade,150.0,True
battle-gen9ubers-6572,9,zaciancrowned,0,FNT,zaciancrowned,0.16,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6572,10,eternatus,0.8764845605700713,,zaciancrowned,0.16,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-6572,11,eternatus,0.8764845605700713,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 570.0), ('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",switch:ribombee,570.0,True
battle-gen9ubers-6572,11,ribombee,0,FNT,koraidon,1.0,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6572,12,eternatus,0.7529691211401425,,koraidon,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('switch', 'koraidon', 92.5), ('switch', 'arceusghost', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'kyogre', 15.0)]",move:dynamaxcannon,300.0,True
