battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-6614,1,ribombee,1.0,,arceusfairy,1.0,,ribombee_opening,[],move:stickyweb,,True
battle-gen9ubers-6614,2,ribombee,0.15708812260536398,,arceusfairy,1.0,,ribombee_opening,[],move:stunspore,,True
battle-gen9ubers-6614,2,ribombee,0,FNT,arceusfairy,1.0,PAR,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-6614,3,zaciancrowned,1.0,,arceusfairy,1.0,PAR,general_scoring,"[('move', 'behemothblade', 300.0), ('switch', 'eternatus', 225.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -145.0)]",move:behemothblade,300.0,True
battle-gen9ubers-6614,4,zaciancrowned,0.7661538461538462,,arceusfairy,0.02,PAR,hard_ko,[],move:behemothblade,,True
battle-gen9ubers-6614,5,zaciancrowned,0.7661538461538462,,zaciancrowned,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 135.0), ('move', 'closecombat', 120.0), ('switch', 'kyogre', 115.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 65.0), ('move', 'swordsdance', 60.0), ('switch', 'koraidon', -25.0)]",move:behemothblade,150.0,True
battle-gen9ubers-6614,5,zaciancrowned,0,FNT,zaciancrowned,0.16,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-6614,6,eternatus,1.0,,zaciancrowned,0.16,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-6614,7,eternatus,1.0,,deoxysspeed,1.0,,general_scoring,"[('switch', 'arceusghost', 255.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'kyogre', 35.0), ('switch', 'koraidon', -25.0)]",switch:arceusghost,255.0,True
battle-gen9ubers-6614,8,arceusghost,1.0,,deoxysspeed,1.0,,general_scoring,"[('move', 'judgment', 300.0), ('move', 'powergem', 80.0), ('move', 'calmmind', 60.0), ('move', 'aurasphere', 40.0), ('switch', 'kyogre', 35.0), ('switch', 'eternatus', 5.0), ('switch', 'koraidon', -25.0)]",move:judgment,300.0,False
battle-gen9ubers-6614,9,arceusghost,0.6467661691542289,,deoxysspeed,0.01,,hard_ko,[],move:judgment,,False
battle-gen9ubers-6614,10,arceusghost,0.48258706467661694,,kingambit,1.0,,general_scoring,"[('move', 'aurasphere', 320.0), ('switch', 'koraidon', 155.0), ('switch', 'eternatus', 135.0), ('switch', 'kyogre', 115.0), ('move', 'judgment', 75.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0)]",move:aurasphere,320.0,True
battle-gen9ubers-6614,11,arceusghost,0.48258706467661694,,koraidon,1.0,,general_scoring,"[('switch', 'eternatus', 155.0), ('move', 'judgment', 150.0), ('switch', 'koraidon', 92.5), ('move', 'aurasphere', 80.0), ('move', 'calmmind', 60.0), ('move', 'powergem', 40.0), ('switch', 'kyogre', 15.0)]",switch:eternatus,155.0,True
